Hedge Fund,Stock,Symbol,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,Avg Price
Abdiel Capital Advisors,Alteryx inc,AYX,3688023,350989000,16.41,22.29,1,124009,3.48,addition,5.61,Q2 2017,INFORMATION TECHNOLOGY,27.81
Abdiel Capital Advisors,Appian corp,APPN,7589473,305324000,14.28,17.73,2,164419,2.21,addition,11.25,Q2 2017,INFORMATION TECHNOLOGY,24.80
Abdiel Capital Advisors,Shopify inc,SHOP,611934,255134000,11.93,23.50,3,-333617,-35.28,reduction,0.58,Q1 2016,COMMUNICATIONS,58.61
Abdiel Capital Advisors,Axon enterprise inc. (taser international inc.),AAXN,2434920,172319000,8.06,8.52,4,574494,30.88,addition,4.07,Q2 2017,INDUSTRIALS,39.32
Abdiel Capital Advisors,Fastly inc,FSLY,8901679,168954000,7.90,4.94,5,4965697,126.16,addition,9.25,Q2 2019,INFORMATION TECHNOLOGY,20.24
Abdiel Capital Advisors,Slack technologies inc,WORK,6046717,162294000,7.59,,6,6046717,,new,2.08,Q1 2020,INFORMATION TECHNOLOGY,26.84
Abdiel Capital Advisors,Zoom video communications inc,ZM,1068469,156125000,7.30,4.55,7,-1668,-0.16,reduction,0.38,Q2 2019,INFORMATION TECHNOLOGY,73.14
Abdiel Capital Advisors,Smartsheet inc,SMAR,3053818,126764000,5.93,8.12,8,163261,5.65,addition,2.57,Q2 2019,INFORMATION TECHNOLOGY,45.51
Abdiel Capital Advisors,Floor & decor holdings inc,FND,3646982,117032000,5.47,,9,3646982,,new,3.57,Q1 2020,CONSUMER DISCRETIONARY,32.09
Abdiel Capital Advisors,Carvana co,CVNA,1734615,95560000,4.47,,10,1734615,,new,1.05,Q1 2020,CONSUMER DISCRETIONARY,55.09
Abdiel Capital Advisors,Bill.com holdings  inc.,BILL,2545500,87056000,4.07,0.36,11,2395500,1597.00,addition,3.52,Q4 2019,INFORMATION TECHNOLOGY,34.43
Abdiel Capital Advisors,Mimecast ltd,MIME,2364273,83459000,3.90,9.99,12,-1320240,-35.83,reduction,3.78,Q1 2016,INFORMATION TECHNOLOGY,18.22
Abdiel Capital Advisors,Twilio inc,TWLO,646583,57863000,2.71,,13,646583,,new,0.46,Q1 2020,INFORMATION TECHNOLOGY,89.49
Coatue Management,Netflix inc,NFLX,1778663,667888000,8.46,4.58,1,1252,0.07,addition,0.40,Q4 2012,COMMUNICATIONS,122.81
Coatue Management,Liberty broadband corp class c,LBRDK,4830223,534802000,6.78,8.05,2,-3214050,-39.95,reduction,2.66,Q2 2016,COMMUNICATIONS,60.02
Coatue Management,Amazon.com inc.,AMZN,269981,526387000,6.67,3.88,3,6001,2.27,addition,0.05,Q4 2009,CONSUMER DISCRETIONARY,1042.96
Coatue Management,Alibaba group holding ltd adr,BABA,2518340,489767000,6.20,6.75,4,-1483051,-37.06,reduction,0.09,Q3 2016,COMMUNICATIONS,135.69
Coatue Management,Facebook inc,FB,2477234,413203000,5.23,5.74,5,-1036586,-29.50,reduction,0.09,Q3 2013,COMMUNICATIONS,109.55
Coatue Management,Microsoft corp.,MSFT,2583518,407446000,5.16,5.21,6,-1565329,-37.73,reduction,0.03,Q4 2017,INFORMATION TECHNOLOGY,101.95
Coatue Management,Jd.com inc adr,JD,9752558,394978000,5.00,,7,9752558,,new,0.66,Q3 2019,CONSUMER DISCRETIONARY,40.50
Coatue Management,Paypal holdings inc,PYPL,3830062,366690000,4.65,2.64,8,760282,24.77,addition,0.33,Q1 2016,COMMUNICATIONS,62.70
Coatue Management,Anaplan inc,PLAN,11111659,336239000,4.26,3.80,9,2004245,22.01,addition,8.11,Q4 2018,INFORMATION TECHNOLOGY,32.81
Coatue Management,Tesla inc,TSLA,534770,280220000,3.55,,10,534770,,new,0.29,Q1 2020,CONSUMER DISCRETIONARY,524.00
Coatue Management,Dynatrace inc,DT,11480076,273685000,3.47,2.02,11,1444742,14.40,addition,4.09,Q3 2019,INFORMATION TECHNOLOGY,24.79
Coatue Management,Global payments inc.,GPN,1875175,270457000,3.43,3.61,12,-609198,-24.52,reduction,0.62,Q2 2019,INFORMATION TECHNOLOGY,159.51
Coatue Management,Insulet corp,PODD,1436634,238021000,3.02,2.19,13,-167751,-10.46,reduction,2.28,Q3 2019,HEALTH CARE,168.44
Coatue Management,Nvidia corp.,NVDA,897254,236516000,3.00,3.16,14,-793293,-46.93,reduction,0.15,Q3 2016,INFORMATION TECHNOLOGY,221.46
Coatue Management,Smartsheet inc,SMAR,5544884,230168000,2.92,1.94,15,116384,2.14,addition,4.67,Q2 2019,INFORMATION TECHNOLOGY,45.30
Coatue Management,Sea ltd adr,SE,4669795,206919000,2.62,1.87,16,-1189122,-20.30,reduction,1.00,Q2 2019,INFORMATION TECHNOLOGY,32.98
Coatue Management,Crowdstrike holdings inc,CRWD,3178656,176987000,2.24,,17,3178656,,new,1.49,Q1 2020,INFORMATION TECHNOLOGY,55.68
Coatue Management,Square inc,SQ,3303698,173048000,2.19,1.43,18,428825,14.92,addition,0.75,Q2 2019,FINANCE,67.47
Coatue Management,Cree inc.,CREE,4816339,170787000,2.16,,19,4816339,,new,4.46,Q1 2020,INFORMATION TECHNOLOGY,35.46
Coatue Management,Twitter inc,TWTR,6641811,163123000,2.07,4.96,20,-12829331,-65.89,reduction,0.85,Q3 2019,COMMUNICATIONS,33.57
Coatue Management,Guardant health inc,GH,2292227,159539000,2.02,1.21,21,340347,17.44,addition,2.43,Q2 2019,HEALTH CARE,79.71
Coatue Management,Lam research corp.,LRCX,502721,120653000,1.53,,22,502721,,new,0.35,Q1 2020,INFORMATION TECHNOLOGY,240.00
Coatue Management,Datadog inc,DDOG,3264583,117460000,1.49,0.15,23,2762682,550.44,addition,1.09,Q3 2019,INFORMATION TECHNOLOGY,35.66
Coatue Management,Nike inc.,NKE,1380668,114237000,1.45,0.00,24,1376323,31676.02,addition,0.09,Q3 2018,CONSUMER DISCRETIONARY,82.78
Coatue Management,Ringcentral inc,RNG,522555,110735000,1.40,2.86,25,-1611831,-75.52,reduction,0.60,Q3 2019,UTILITIES AND TELECOMMUNICATIONS,159.76
Coatue Management,Peloton interactive inc,PTON,3419671,90793000,1.15,0.09,26,3020128,755.90,addition,1.22,Q4 2019,CONSUMER DISCRETIONARY,26.77
Coatue Management,Zoom video communications inc,ZM,595925,87077000,1.10,,27,595925,,new,0.21,Q2 2019,INFORMATION TECHNOLOGY,146.12
Coatue Management,Broadcom ltd. (avago technologies),AVGO,317584,75299000,0.95,1.73,28,-370802,-53.87,reduction,0.08,Q1 2014,INFORMATION TECHNOLOGY,159.99
Coatue Management,Snap inc class a,SNAP,3714333,44164000,0.56,1.78,29,-9956660,-72.83,reduction,0.26,Q3 2019,UTILITIES AND TELECOMMUNICATIONS,15.92
Coatue Management,Micron technology  inc.,MU,1005000,42270000,0.54,0.00,30,995874,10912.49,addition,0.09,Q1 2018,INFORMATION TECHNOLOGY,42.07
Coatue Management,Beyond meat inc,BYND,518188,34511000,0.44,0.21,31,174836,50.92,addition,0.84,Q4 2019,CONSUMER STAPLES,72.56
Coatue Management,Luckin coffee inc,LK,1228494,33403000,0.42,0.16,32,713671,138.62,addition,0.49,Q2 2019,CONSUMER STAPLES,23.96
Coatue Management,Green dot corp,GDOT,1251351,31771000,0.40,0.03,33,1087053,661.63,addition,2.37,Q2 2019,FINANCE,28.48
Coatue Management,Uber technologies inc,UBER,1080326,30162000,0.38,0.61,34,-1516998,-58.41,reduction,0.06,Q2 2019,CONSUMER DISCRETIONARY,46.38
Coatue Management,Glu mobile inc,GLUU,4370311,27489000,0.35,0.02,35,4033282,1196.72,addition,2.91,Q2 2019,INFORMATION TECHNOLOGY,6.20
Coatue Management,Okta inc,OKTA,222516,27205000,0.34,0.69,36,-526882,-70.31,reduction,0.18,Q1 2019,INFORMATION TECHNOLOGY,111.31
Coatue Management,Servicenow inc,NOW,78911,22615000,0.29,6.15,37,-2657848,-97.12,reduction,0.04,Q2 2018,INFORMATION TECHNOLOGY,194.50
Coatue Management,Intuitive surgical inc,ISRG,44224,21900000,0.28,1.33,38,-238574,-84.36,reduction,0.04,Q2 2019,HEALTH CARE,524.55
Coatue Management,Fitbit inc,FIT,3178570,21169000,0.27,,39,3178570,,new,1.19,Q4 2015,INFORMATION TECHNOLOGY,6.66
Coatue Management,Canopy growth corp,CGC,1316735,18987000,0.24,,40,1316735,,new,0.38,Q1 2020,HEALTH CARE,14.42
Coatue Management,Stitch fix inc,SFIX,935426,11880000,0.15,0.22,41,-159263,-14.55,reduction,0.91,Q4 2019,CONSUMER DISCRETIONARY,25.66
Coatue Management,Bed bath & beyond inc.,BBBY,1818983,7658000,0.10,,42,1818983,,new,1.44,Q1 2020,CONSUMER DISCRETIONARY,4.21
Coatue Management,3d systems corp.,DDD,961925,7417000,0.09,,43,961925,,new,0.81,Q1 2017,INDUSTRIALS,7.71
Coatue Management,Hertz global holdings inc,HTZ,1182645,7309000,0.09,0.01,44,1123708,1906.63,addition,0.83,Q2 2018,CONSUMER DISCRETIONARY,6.59
Coatue Management,Stratasys ltd,SSYS,457112,7291000,0.09,,45,457112,,new,0.84,Q2 2015,INFORMATION TECHNOLOGY,15.95
Coatue Management,Stoneco ltd,STNE,284542,6195000,0.08,0.56,46,-1464231,-83.73,reduction,0.10,Q2 2019,FINANCE,31.41
Coatue Management,Mcdonalds corp.,MCD,29461,4872000,0.06,0.00,47,27413,1338.53,addition,0.00,Q4 2019,CONSUMER DISCRETIONARY,167.59
Coatue Management,Smiledirectclub inc,SDC,986445,4607000,0.06,,48,986445,,new,0.26,Q1 2020,HEALTH CARE,4.67
Coatue Management,Walt disney co. (the),DIS,46391,4481000,0.06,0.01,49,41986,953.14,addition,0.00,Q3 2019,COMMUNICATIONS,99.80
Coatue Management,Tanger factory outlet centers inc,SKT,290628,1453000,0.02,,50,290628,,new,0.31,Q1 2020,REAL ESTATE,5.00
Coatue Management,Vanguard ftseeuropean etf,VGK,27172,1176000,0.01,,51,27172,,new,No Data,Q1 2020,FINANCE,43.28
Coatue Management,Post holdings inc,POST,13689,1136000,0.01,,52,13689,,new,0.02,Q1 2020,CONSUMER STAPLES,82.97
Coatue Management,Vanguard total stock market etf,VTI,8781,1132000,0.01,0.03,53,-16375,-65.09,reduction,No Data,Q3 2019,FINANCE,151.00
Coatue Management,National beverage corp,FIZZ,22389,955000,0.01,,54,22389,,new,0.05,Q1 2020,CONSUMER STAPLES,42.65
Coatue Management,Mastercard inc,MA,3793,917000,0.01,5.00,55,-2099570,-99.82,reduction,0.00,Q4 2018,FINANCE,221.45
Coatue Management,Iqvia holdings inc,IQV,8281,893000,0.01,0.21,56,-164163,-95.20,reduction,0.00,Q3 2019,HEALTH CARE,149.38
Coatue Management,Jack in the box  inc,JACK,25160,882000,0.01,,57,25160,,new,0.11,Q1 2020,CONSUMER DISCRETIONARY,35.05
Coatue Management,Mondelez international inc. (kraft foods),MDLZ,17608,882000,0.01,0.04,58,-67083,-79.21,reduction,0.00,Q1 2019,CONSUMER STAPLES,54.55
Coatue Management,Freshpet inc,FRPT,13681,874000,0.01,0.04,59,-69565,-83.57,reduction,0.03,Q1 2019,CONSUMER DISCRETIONARY,55.41
Coatue Management,Helen of troy ltd.,HELE,6023,867000,0.01,,60,6023,,new,0.02,Q1 2020,CONSUMER STAPLES,144.03
Coatue Management,Vivint solar inc,VSLR,182454,797000,0.01,,61,182454,,new,0.15,Q1 2020,ENERGY,4.37
Coatue Management,Boston beer inc class a,SAM,2127,782000,0.01,0.01,62,-1955,-47.89,reduction,0.02,Q2 2019,CONSUMER STAPLES,377.81
Coatue Management,Clorox co.,CLX,4403,763000,0.01,,63,4403,,new,0.00,Q1 2020,CONSUMER STAPLES,173.25
Coatue Management,Home depot  inc. (the),HD,4066,759000,0.01,,64,4066,,new,0.00,Q1 2020,CONSUMER DISCRETIONARY,186.71
Coatue Management,Wingstop inc,WING,9383,748000,0.01,,65,9383,,new,0.03,Q4 2018,CONSUMER DISCRETIONARY,79.70
Coatue Management,Tractor supply company,TSCO,8713,737000,0.01,0.01,66,-3169,-26.67,reduction,0.01,Q4 2019,CONSUMER DISCRETIONARY,93.44
Coatue Management,Grubhub inc,GRUB,17702,721000,0.01,0.01,67,4772,36.91,addition,0.02,Q2 2019,COMMUNICATIONS,46.51
Coatue Management,Ishares msci united kingdom etf,EWU,29693,709000,0.01,0.03,68,-67819,-69.55,reduction,No Data,Q2 2019,FINANCE,33.94
Coatue Management,Papa johns international inc.,PZZA,13057,697000,0.01,0.02,69,-31759,-70.87,reduction,0.04,Q1 2018,CONSUMER DISCRETIONARY,52.45
Coatue Management,Sherwin-williams co.,SHW,1420,653000,0.01,,70,1420,,new,0.00,Q1 2020,MATERIALS,459.52
Coatue Management,Dollar general corp.,DG,4304,650000,0.01,0.00,71,2314,116.28,addition,0.00,Q1 2019,CONSUMER DISCRETIONARY,154.68
Coatue Management,Adobe systems  inc.,ADBE,1981,630000,0.01,3.65,72,-1389383,-99.86,reduction,0.00,Q3 2017,INFORMATION TECHNOLOGY,247.11
Coatue Management,Kimberly-clark corp.,KMB,4866,622000,0.01,,73,4866,,new,0.00,Q2 2019,CONSUMER STAPLES,127.87
Coatue Management,Lowes companies  inc.,LOW,7162,616000,0.01,,74,7162,,new,0.00,Q1 2020,CONSUMER DISCRETIONARY,86.05
Coatue Management,B&g foods  inc.,BGS,33852,612000,0.01,0.00,75,9542,39.25,addition,0.05,Q4 2019,CONSUMER STAPLES,17.98
Coatue Management,Procter & gamble co. (oh) (1905),PG,5551,611000,0.01,0.01,76,-4964,-47.21,reduction,0.00,Q1 2019,CONSUMER STAPLES,120.36
Coatue Management,Campbell soup co.,CPB,12644,584000,0.01,0.04,77,-82625,-86.73,reduction,0.00,Q2 2019,CONSUMER STAPLES,49.42
Coatue Management,Shopify inc,SHOP,1367,570000,0.01,1.63,78,-514881,-99.74,reduction,0.00,Q2 2017,COMMUNICATIONS,97.12
Coatue Management,Edgewell personal care company,EPC,23182,558000,0.01,,79,23182,,new,0.04,Q1 2020,INDUSTRIALS,24.08
Coatue Management,Bjs wholesale club holdings inc,BJ,19813,505000,0.01,0.00,80,-950,-4.58,reduction,0.01,Q4 2019,CONSUMER DISCRETIONARY,22.74
Coatue Management,Dunkin brands group inc,DNKN,9490,504000,0.01,0.01,81,-7363,-43.69,reduction,0.01,Q4 2018,CONSUMER DISCRETIONARY,77.62
Coatue Management,Flowers foods,FLO,23981,492000,0.01,,82,23981,,new,0.01,Q1 2020,CONSUMER STAPLES,20.52
Coatue Management,General mills co.,GIS,8827,466000,0.01,,83,8827,,new,0.00,Q1 2020,CONSUMER STAPLES,52.77
Coatue Management,Wendys co. (the),WEN,30931,460000,0.01,,84,30931,,new,0.01,Q1 2019,CONSUMER DISCRETIONARY,14.88
Coatue Management,Best buy co.  inc.,BBY,7872,449000,0.01,,85,7872,,new,0.00,Q1 2018,CONSUMER DISCRETIONARY,57.00
Coatue Management,Dominos pizza inc,DPZ,1378,447000,0.01,,86,1378,,new,0.00,Q1 2020,CONSUMER DISCRETIONARY,324.07
Coatue Management,Yum! brands  inc. (tricon global restaurants),YUM,6489,445000,0.01,,87,6489,,new,0.00,Q1 2020,CONSUMER DISCRETIONARY,68.53
Coatue Management,Reynolds consumer products inc.,REYN,14862,434000,0.01,,88,14862,,new,0.01,Q1 2020,CONSUMER STAPLES,29.17
Coatue Management,Ishares msci mexico capped etf,EWW,14977,425000,0.01,,89,14977,,new,No Data,Q1 2020,FINANCE,28.35
Coatue Management,Tyson foods  inc.,TSN,7201,417000,0.01,0.04,90,-42674,-85.56,reduction,0.00,Q2 2019,CONSUMER STAPLES,87.82
Coatue Management,United airlines holdings inc,UAL,12909,407000,0.01,0.01,91,5085,64.99,addition,0.01,Q4 2019,TRANSPORTS,65.82
Coatue Management,Designer brands inc,DBI,81366,405000,0.01,,92,81366,,new,0.11,Q1 2020,CONSUMER DISCRETIONARY,4.98
Coatue Management,Tapestry inc,TPR,31216,404000,0.01,0.01,93,-16682,-34.83,reduction,0.01,Q2 2019,CONSUMER DISCRETIONARY,26.97
Coatue Management,Williams-sonoma inc.,WSM,9443,402000,0.01,0.01,94,-12253,-56.48,reduction,0.01,Q1 2018,CONSUMER DISCRETIONARY,65.31
Coatue Management,Wix.com ltd,WIX,3977,401000,0.01,0.02,95,-12862,-76.38,reduction,0.01,Q2 2019,COMMUNICATIONS,142.10
Coatue Management,Monster beverage corp.,MNST,7036,396000,0.01,0.04,96,-66450,-90.43,reduction,0.00,Q2 2019,CONSUMER STAPLES,62.84
Coatue Management,Guess inc,GES,55698,377000,0.00,,97,55698,,new,0.08,Q1 2020,CONSUMER DISCRETIONARY,6.77
Coatue Management,Shoe carnival inc,SCVL,17303,359000,0.00,,98,17303,,new,0.12,Q2 2018,CONSUMER DISCRETIONARY,20.77
Coatue Management,Colgate-palmolive co.,CL,5350,355000,0.00,0.02,99,-23496,-81.45,reduction,0.00,Q4 2019,CONSUMER STAPLES,68.84
Coatue Management,Marriott international inc/md,MAR,4705,352000,0.00,0.01,100,-426,-8.30,reduction,0.00,Q4 2019,CONSUMER DISCRETIONARY,151.43
Coatue Management,Pvh corp. (phillips jones - phillips van heusen corp.),PVH,9021,340000,0.00,,101,9021,,new,0.01,Q1 2020,CONSUMER DISCRETIONARY,37.64
Coatue Management,Ingles markets  inc class a,IMKTA,9234,334000,0.00,,102,9234,,new,0.05,Q3 2019,CONSUMER STAPLES,36.16
Coatue Management,Siteone landscape supply inc,SITE,4423,326000,0.00,,103,4423,,new,0.01,Q1 2020,INDUSTRIALS,73.62
Coatue Management,Wayfair inc class a,W,6084,325000,0.00,0.09,104,-115232,-94.98,reduction,0.01,Q2 2019,CONSUMER DISCRETIONARY,105.28
Coatue Management,Frontier communications corp,FTRCQ,848516,322000,0.00,,105,848516,,new,0.81,Q2 2017,UTILITIES AND TELECOMMUNICATIONS,0.38
Coatue Management,Cal-maine foods inc,CALM,7279,320000,0.00,,106,7279,,new,0.01,Q3 2019,CONSUMER STAPLES,43.98
Coatue Management,Weis markets inc,WMK,7178,299000,0.00,0.00,107,-3595,-33.37,reduction,0.03,Q4 2018,CONSUMER STAPLES,38.92
Coatue Management,Conagra brands inc,CAG,10013,294000,0.00,0.01,108,-9915,-49.75,reduction,0.00,Q2 2019,CONSUMER STAPLES,34.24
Coatue Management,Energizer holdings inc,ENR,9590,290000,0.00,,109,9590,,new,0.01,Q3 2019,CONSUMER STAPLES,30.25
Coatue Management,Keurig dr pepper inc,KDP,10898,264000,0.00,0.02,110,-71662,-86.80,reduction,0.00,Q2 2019,CONSUMER STAPLES,28.95
Coatue Management,Petiq inc,PETQ,11219,261000,0.00,,111,11219,,new,0.04,Q1 2020,HEALTH CARE,23.23
Coatue Management,El pollo loco holdings inc,LOCO,30599,259000,0.00,0.01,112,-54280,-63.95,reduction,0.09,Q4 2019,CONSUMER DISCRETIONARY,15.14
Coatue Management,Avis budget group inc. (cuc international - cendant),CAR,18610,259000,0.00,0.02,113,-44850,-70.67,reduction,0.03,Q4 2019,TRANSPORTS,32.24
Coatue Management,G-iii apparel group ltd,GIII,33564,258000,0.00,0.01,114,-6199,-15.59,reduction,0.07,Q3 2019,CONSUMER DISCRETIONARY,25.77
Coatue Management,Caleres inc. (brown shoe co.),CAL,48472,252000,0.00,0.01,115,-6252,-11.42,reduction,0.12,Q4 2018,CONSUMER DISCRETIONARY,21.17
Coatue Management,New york times co. class a,NYT,7985,245000,0.00,,116,7985,,new,0.00,Q2 2019,COMMUNICATIONS,30.71
Coatue Management,Hormel foods corp.,HRL,5151,240000,0.00,0.01,117,-24025,-82.35,reduction,0.00,Q4 2019,CONSUMER STAPLES,45.11
Coatue Management,Dish network corp  class a,DISH,11993,240000,0.00,0.01,118,-9789,-44.94,reduction,0.00,Q4 2019,COMMUNICATIONS,35.47
Coatue Management,American airlines group inc,AAL,19415,237000,0.00,,119,19415,,new,0.00,Q1 2020,TRANSPORTS,12.19
Coatue Management,Turning point brands inc,TPB,10904,230000,0.00,0.01,120,-52097,-82.69,reduction,0.06,Q2 2019,CONSUMER STAPLES,32.31
